BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS
Acupe,1375,122.63,11213,1319
Aeroporto,20,.00,0,18
"Aguas Claras",3371,91.04,37029,3212
"Alto da Terezinha",424,30.26,14010,403
"Alto das Pombas",633,165.58,3823,618
"Alto do Cabrito",985,57.77,17051,941
"Alto do Coqueirinho",481,43.16,11145,443
Amaralina,1102,267.15,4125,1039
"Areia Branca",115,44.33,2594,103
Arenoso,1192,71.79,16604,1137
"Arraial do Retiro",550,61.54,8938,523
"Bairro da Paz",1192,61.42,19407,1135
"Baixa de Quintas",453,212.18,2135,430
Barbalho,1196,129.62,9227,1130
Barra,2787,161.12,17298,2634
Barreiras,1352,75.28,17960,1290
Barris,999,206.19,4845,951
"Beiru/Tancredo Neves",4169,82.69,50416,4009
"Boa Viagem",335,144.27,2322,281
"Boa Vista de Brotas",46,15.52,2964,40
"Boa Vista de Sao Caetano",1358,76.78,17688,1300
"Boca da Mata",708,87.75,8068,677
"Boca do Rio",4189,87.21,48032,4028
"Bom Jua",97,6.25,15528,74
Bonfim,1511,159.96,9446,1439
Brotas,7861,112.05,70158,7566
Cabula,4657,195.11,23869,4495
"Cabula VI",1556,145.04,10728,1482
"Caixa D'Agua",2276,101.40,22446,2178
"Cajazeiras II",111,97.63,1137,78
"Cajazeiras IV",234,69.56,3364,229
"Cajazeiras V",344,63.45,5422,322
"Cajazeiras VI",288,39.23,7341,270
"Cajazeiras VII",389,85.99,4524,378
"Cajazeiras VIII",913,70.16,13013,871
"Cajazeiras X",737,86.57,8513,709
"Cajazeiras XI",1353,80.06,16899,1315
Calabar,197,30.38,6484,190
Calabetao,546,74.82,7298,521
Calcada,240,47.77,5024,228
"Caminho das Arvores",2930,237.77,12323,2837
"Caminho de Areia",775,62.92,12318,746
"Campinas de Piraja",1291,110.60,11673,1228
Canabrava,1269,92.87,13664,1213
Candeal,2031,149.86,13553,1957
Canela,814,152.46,5339,764
Capelinha,982,61.25,16033,936
Cassange,203,43.82,4633,182
"Castelo Branco",2997,89.44,33510,2856
Centro,3716,236.76,15695,3577
"Centro Administrativo da Bahia",95,.00,0,86
"Centro Historico",89,39.50,2253,87
"Chame - Chame",397,.00,0,373
"Chapada do Rio Vermelho",149,6.79,21955,146
"Cidade Nova",1702,90.91,18722,1624
"Colinas de Periperi",49,.00,0,48
Comercio,323,240.15,1345,309
"Cosme de Farias",2794,72.87,38341,2636
"Costa Azul",2347,116.17,20204,2248
Coutos,1998,76.83,26005,1864
