BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS,CIDADE,procurar,raw,LATITUDE,LONGITUDE,POINT
Acupe,1375,122.63,11213,1319,Salvador,"Salvador, Acupe","Acupe, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.927.448,-384.937.012,"12 59m 33.8813s S, 38 29m 37.3243s W"
Aeroporto,20,0.0,0,18,Salvador,"Salvador, Aeroporto","Aeroporto, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.174.425,-383.294.749,"12 55m 2.793s S, 38 19m 46.1096s W"
Aguas Claras,3371,91.04,37029,3212,Salvador,"Salvador, Aguas Claras","Águas Claras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.288.806.345,-3.843.453.984.517.770,"12 53m 17.0284s S, 38 26m 4.34344s W"
Alto da Terezinha,424,30.26,14010,403,Salvador,"Salvador, Alto da Terezinha","Alto da Terezinha, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40711-160, Brasil",-12.881.484,-384.772.489,"12 52m 53.3424s S, 38 28m 38.096s W"
Alto das Pombas,633,165.58,3823,618,Salvador,"Salvador, Alto das Pombas","Alto das Pombas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-130.011.662,-385.137.112,"13 0m 4.19832s S, 38 30m 49.3603s W"
Alto do Cabrito,985,57.77,17051,941,Salvador,"Salvador, Alto do Cabrito","Alto do Cabrito, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40470-630, Brasil",-129.110.698,-384.755.217,"12 54m 39.8513s S, 38 28m 31.8781s W"
Alto do Coqueirinho,481,43.16,11145,443,Salvador,"Salvador, Alto do Coqueirinho","Alto do Coqueirinho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.414.165,-383.714.894,"12 56m 29.0994s S, 38 22m 17.3618s W"
Amaralina,1102,267.15,4125,1039,Salvador,"Salvador, Amaralina","Amaralina, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-13.012.637,-38.472.892,"13 0m 45.4932s S, 38 28m 22.4112s W"
Areia Branca,115,44.33,2594,103,Salvador,"Salvador, Areia Branca","Areia Branca, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.475.541,-38.359.295,"12 50m 51.1948s S, 38 21m 33.462s W"
Arenoso,1192,71.79,16604,1137,Salvador,"Salvador, Arenoso","Vila Arenoso, Novo Horizonte, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.479.091,-38.442.128.489.520.200,"12 56m 52.4728s S, 38 26m 31.6626s W"
Arraial do Retiro,550,61.54,8938,523,Salvador,"Salvador, Arraial do Retiro","Vila Arraial do Retiro, São Gonçalo do Retiro, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.444.672,-38.466.588.815.993.800,"12 56m 40.0819s S, 38 27m 59.7197s W"
Bairro da Paz,1192,61.42,19407,1135,Salvador,"Salvador, Bairro da Paz","Bairro da Paz, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.290.087,-383.749.638,"12 55m 44.4313s S, 38 22m 29.8697s W"
Baixa de Quintas,453,212.18,2135,430,Salvador,"Salvador, Baixa de Quintas","Baixa de Quintas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40300-415, Brasil",-129.637.829,-384.906.761,"12 57m 49.6184s S, 38 29m 26.434s W"
